 YEARMODA,   TEMP,PRCP  
19970101,77.7, 0.00B
19970102,80.2, 0.00B
19970103,78.1, 0.00B
19970104,77.2, 0.00B
19970105,78.3, 0.00B
19970106,78.2, 0.00B
19970107,81.5, 0.00B
19970108,82.5, 0.00B
19970109,80.1, 0.00B
19970110,81.9, 0.00B
19970111,80.5, 0.00B
19970112,81, 0.00B
19970113,82, 0.00B
19970114,82.1, 0.00B
19970115,81.9, 0.00B
19970116,82.5, 0.00B
19970117,84.2, 0.00B
19970118,85.3, 0.00B
19970119,80.8, 0.00B
19970120,80.7, 0.00B
19970121,77.3, 0.00B
19970122,79.5, 0.00B
19970123,78.4, 0.00B
19970124,79.2, 0.00B
19970125,78.4, 0.00B
19970126,78.8, 0.00B
19970127,80, 0.00B
19970128,78.7, 0.00B
19970129,77.7, 0.00A
19970130,77.7, 0.00B
19970131,76.8, 0.00A
19970201,75.5, 0.00B
19970202,75.5, 0.00B
19970203,77.9, 0.00B
19970204,78.3, 0.00B
19970205,77.4, 0.00B
19970206,78.5, 0.00B
19970207,80, 0.00B
19970208,79, 0.00B
19970209,77.3, 0.00A
19970210,79.8, 0.00B
19970211,78.3, 0.00B
19970212,79.4, 0.00B
19970213,79.4, 0.00B
19970214,78.1, 0.00B
19970215,78, 0.00B
19970216,79.9, 0.00B
19970217,80, 0.00C
19970218,82.5, 0.00B
19970219,82.6, 0.00B
19970220,82.2, 0.00B
19970221,80.7, 0.00B
19970222,80.7, 0.00B
19970223,81.8, 0.00B
19970224,84, 0.00B
19970225,84.8, 0.00B
19970226,85.4, 0.00B
19970227,83.3, 0.00B
19970228,87.5, 0.00B
19970301,87.2, 0.00B
19970302,82.9, 0.00B
19970303,81.5, 0.00B
19970304,80, 0.00B
19970305,82, 0.00B
19970306,85, 0.00B
19970307,83.1, 0.00B
19970308,84.5, 0.00B
19970309,86.3, 0.00B
19970310,85.3, 0.00B
19970311,85.4, 0.00B
19970312,86, 0.00B
19970313,88, 0.00B
19970314,90.6, 0.00B
19970315,93.4, 0.00B
19970316,90, 0.00B
19970317,94.7, 0.00B
19970318,93.8, 0.00B
19970319,91.1, 0.00B
19970320,91.5, 0.00B
19970321,91.8, 0.00B
19970322,94, 0.00B
19970323,93.3, 0.00B
19970324,90.1, 0.00B
19970325,83.1, 1.30G
19970326,85.1, 0.00G
19970327,88.5, 0.00B
19970328,81.2, 0.35G
19970329,86, 0.00G
19970330,84.8, 0.00A
19970331,84.6, 0.63G
19970401,86.1, 0.00G
19970402,85.7, 0.00B
19970403,88.7, 0.00B
19970404,89.4, 0.00B
19970405,86, 0.00B
19970406,88.6, 0.00B
19970407,86.7, 0.00B
19970408,85.6, 0.00B
19970409,90.9, 0.00B
19970410,92.9, 0.00H
19970411,88.2, 0.71G
19970412,85.6, 0.00G
19970413,88.6, 0.00B
19970414,91.5, 0.00B
19970415,90, 0.00B
19970416,89.8, 0.00B
19970417,92.7, 0.00B
19970418,89.3, 0.00H
19970419,88.5, 0.24G
19970420,91, 0.00G
19970421,85.6, 0.00H
19970422,77.5, 1.81G
19970423,84.9, 0.00G
19970424,88.9, 0.00B
19970425,89.2, 0.00B
19970426,88.9, 0.00B
19970427,87.8, 0.00B
19970428,87.8, 0.00B
19970429,85.5, 0.00B
19970430,83.9, 0.00A
19970501,88.2, 0.00A
19970502,85.2, 0.00H
19970503,75.7,99.99 
19970504,79, 0.20G
19970505,82, 0.39G
19970506,82.7, 0.00G
19970507,83.1, 0.00H
19970508,82.7, 1.06G
19970509,85.6, 0.00G
19970510,87.4, 0.00B
19970511,86.6, 0.00B
19970512,87.8, 0.00H
19970513,85.8, 0.00A
19970514,87.8, 0.00B
19970515,86.3, 0.00B
19970516,79.5, 0.00H
19970517,86.4, 0.00B
19970518,84.7, 0.00B
19970519,87.1, 0.00B
19970520,86.2, 0.24G
19970521,81.8, 0.08G
19970522,83.7, 0.00G
19970523,86.2, 0.00B
19970524,79.6, 0.00A
19970525,83.6, 0.51G
19970526,87.7, 0.00G
19970527,84.3, 0.00B
19970528,79.6, 0.00H
19970530,85.1, 0.00A
19970531,85.7, 0.00G
19970601,85.3, 0.00G
19970602,87.1, 0.00B
19970603,85.8, 0.00B
19970604,82.6, 0.00A
19970605,78.2, 1.73G
19970606,82.7, 0.04G
19970607,80.7, 0.63G
19970608,82.2, 0.00G
19970609,84.7, 0.00G
19970610,81.7, 0.43G
19970611,76.8, 0.94G
19970612,80.2, 0.00G
19970613,78.6, 0.00H
19970614,80.5, 0.00G
19970615,78.2, 0.00B
19970616,81.1, 0.31G
19970617,83.3, 0.00G
19970618,87, 0.00B
19970619,84.2, 0.00B
19970620,82.2, 0.00B
19970621,85.5, 0.00A
19970623,80.1, 0.00I
19970624,81.4, 0.79G
19970625,84.8, 0.00G
19970626,85.7, 0.00A
19970627,81.3, 0.39G
19970628,79.8, 0.00G
19970629,82, 0.00G
19970630,77.4, 0.00A
19970701,80.1, 0.16G
19970702,77.1, 0.00G
19970703,81.2, 0.67G
19970705,81, 0.00B
19970706,81.9, 0.00B
19970707,78.3, 0.00H
19970708,79.9, 1.18G
19970709,84.5, 0.00G
19970710,80.4, 0.55G
19970711,81.9, 0.01G
19970712,78.2, 0.00G
19970713,81, 0.79G
19970714,81.7, 0.00G
19970715,77.6, 0.00A
19970716,79, 0.35G
19970717,79.8, 0.00G
19970718,79.8, 0.00A
19970719,81.1, 0.04G
19970720,76.9, 1.02G
19970721,79.8, 0.24G
19970722,79.9, 0.08G
19970723,81.6, 0.98G
19970724,83.3, 0.00G
