ISO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ASSOC_ACTOR_1,INTER1,ACTOR2,ASSOC_ACTOR_2,INTER2,INTERACTION,REGION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,SOURCE_SCALE,NOTES,FATALITIES,TIMESTAMP
204,BEN1,1,19971010,1997,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,Reuters,International,Teachers protest over working conditions,0,1552577678
204,BEN2,2,19971202,1997,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,Reuters,International,Teachers protest over working conditions,0,1552577677
204,BEN4,4,19980621,1998,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,Reuters,International,Protests over election irregularties,0,1552577675
204,BEN5,5,19980801,1998,1,Violence against civilians,Attack,Police Forces of Benin (1996-2006),,1,Civilians (Benin),,7,17,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,Reuters,International,Journalist killed by officer,1,1552577674
204,BEN6,6,19980807,1998,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,Reuters,International,Journalists protest killing of media member,0,1552577674
204,BEN7,7,19990606,1999,1,Violence against civilians,Attack,Military Forces of Benin (1996-2006),,1,Civilians (Benin),,7,17,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,2,Inter Press Service,International,Member of parliament attacked by military,0,1552577669
204,BEN8,8,19990607,1999,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,Inter Press Service,International,Journalists protest against beating of MP member,0,1552577669
204,BEN9,9,20000505,2000,1,Riots,Violent demonstration,Rioters (Benin),Prisoners (Benin),5,Police Forces of Benin (1996-2006),,1,15,Western Africa,Benin,Mono,Lokossa,,Lokossa,6.63,1.72,1,AFP,International,Prisoners riot over countrys judiciary system- killing a guard,1,1561468964
204,BEN10,10,20010119,2001,1,Violence against civilians,Attack,Police Forces of Benin (1996-2006),,1,Civilians (Benin),,7,17,Western Africa,Benin,Atlantique,Abomey-Calavi,,Abomey-Calavi,6.45,2.35,1,AFP,International,two journalists beaten,0,1561468964
204,BEN11,11,20010815,2001,1,Violence against civilians,Attack,Unidentified Armed Group (Benin),,3,Civilians (Benin),,7,37,Western Africa,Benin,Collines,Save,,Okunfo,8.32,2.63,1,IRIN,Other,two people killed while travelling,2,1552577659
204,BEN12,12,20010825,2001,1,Violence against civilians,Attack,Unidentified Armed Group (Benin),,3,Civilians (Benin),,7,37,Western Africa,Benin,Zou,Bohicon,,Bohicon,7.178,2.067,2,AFP,International,Bandits kill 2 people,2,1561468964
204,BEN13,13,20020425,2002,1,Protests,Protest with intervention,Protesters (Benin),PRB: Renaissance Party of Benin,6,Police Forces of Benin (1996-2006),,1,16,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,AFP,International,"""PRB """"protest[ed] against the refusal by the interior ministry to endorse decisions taken at a PRB party congress"""". Police fired teargas at the protesters""",0,1561468964
204,BEN14,14,20030401,2003,1,Violence against civilians,Attack,Police Forces of Benin (1996-2006),,1,Civilians (Benin),,7,17,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,All Africa,Regional,"""Four journalists were beaten, detained and later released by police. The journalists had published a letter from an underground police force that was meant for Benins head of police. The officers said the journalists were being unethical.""",0,1552577651
204,BEN15,15,20030515,2003,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,Pan Africa News,Regional,About 100 journalists protested the beating and detaining of four journalists in April 2003 by police forces.,0,1552577651
204,BEN16,16,20040818,2004,1,Battles,Armed clash,Unidentified Armed Group (Benin),Labour Group (Benin),3,Police Forces of Benin (1996-2006),,1,13,Western Africa,Benin,Oueme,Porto-Novo,,Porto-Novo,6.483,2.617,1,Reuters,International,"""Riots broke out between police and fuel vendors. Police were arresting fuel vendors in order to cut down illegal fuel trade- most fuel was illegally bought in Nigeria. During the arrests other fuel vendors responded by attacking police with machetes and firearms. Also vendors set tires on fire and lit a petrol station on fire. Two rioters died and over ten injured.""",2,1552577646
204,BEN17,17,20040906,2004,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Oueme,Porto-Novo,,Porto-Novo,6.483,2.617,1,AFP,International,Truckers launched a protest by blocking roads from Cotonou to Novo-Porto and along the border to Nigeria. They were protesting police harassment and brutality.,0,1561468964
204,BEN19,19,20050707,2005,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Oueme,Porto-Novo,,Porto-Novo,6.483,2.617,1,Global Insight Daily Analysis,International,"""Propsed new povisions for potential presidential candidates. One new rule would state that the candidate must live in Benin continuously for the year leading up to the election. If passed this would exclude Mathieu Kerekous opponent Yayi Boni from running.""",0,1552577643
204,BEN20,20,20050913,2005,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,Global Insight Daily Analysis,International,Cotton farmers protested the non-payment of subsidies by the government for two years.,0,1552577642
204,BEN21,21,20060617,2006,3,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,All Africa,Regional,Benins ban on contraband fuel ignites protests,0,1552577640
204,BEN22,22,20070315,2007,1,Battles,Armed clash,Military Forces of Benin (2006-2016) Presidential Security Unit,,1,Unidentified Armed Group (Benin),,3,13,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,AFP,International,Unidentified armed men attacked President Bonis convoy. President Boni was unharmed but several of his security guards were hurt.,0,1561468964
204,BEN23,23,20070513,2007,1,Violence against civilians,Attack,Military Forces of Benin (2006-2016) Presidential Security Unit,,1,Civilians (Benin),,7,17,Western Africa,Benin,Atlantique,Ouidah,,Ouidah,6.367,2.083,1,Reuters,International,Citizens of Ouidah were angered that the president set up road blocks during his drive through the town. People ignored the road blocks and were in turn shot by the presidential guard. Two people were killed and five injured. In response to the killing.,1,1552577637
204,BEN24,24,20070513,2007,1,Violence against civilians,Attack,Military Forces of Benin (2006-2016) Presidential Security Unit,,1,Civilians (Benin),,7,17,Western Africa,Benin,Atlantique,Ouidah,,Ouidah,6.367,2.083,1,Reuters,International,"""Citizens of Ouidah were angered that the president set up road blocks during his drive through the town. People ignored the road blocks and were in turn shot by the presidential guard. Two people were killed and five injured. In response to the killing.""",1,1552577637
204,BEN25,25,20080710,2008,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,All Africa,Regional,Protesters demonstrated against the high cost of living in Benin and demanded salary increases.,0,1552577631
204,BEN26,26,20090721,2009,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,Global Insight Daily Analysis,International,protest over corruption and cost of living,0,1552577626
204,BEN27,27,20091124,2009,1,Violence against civilians,Attack,Unidentified Armed Group (Benin),,3,Civilians (International),,7,37,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,2,AP,International,Pirates attacked vessel off Benin coast; 1 sailor killed,1,1561468964
204,BEN28,28,20100214,2010,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,Agence de Presse Africaine,Regional,"Protests hostile to the government in the capital Cotonou, against the exclusion of citizens from the voting lists.",0,1561468964
204,BEN29,29,20100221,2010,1,Protests,Protest with intervention,Police Forces of Benin (2006-2016),,1,Protesters (Benin),,6,16,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,AFP,International,Benin police in Cotonou said Monday they used teargas to disperse opposition protesters who tried to join a rally to denounce an incomplete electoral list ahead of March 6 presidential polls.,0,1561468964
204,BEN30,30,20100322,2010,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,Agence de Presse Africaine,Regional,Thousands of protesters marched to denounce the negative consequences of the different treaties signed by the government with the World Bank and the IMF.,0,1561468964
204,BEN31,31,20100322,2010,1,Protests,Peaceful protest,Protesters (Benin),Students (Benin),6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,Agence de Presse Africaine,Regional,Thousands of students marched through Cotonou against the governments refusal to negotiate with teachers who have been on strike since January.,0,1561468964
